%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1776135954307492608,109,1776135954307492608,base_link,0.02587479131704878,-0.22942635915326562,0.013903893695055607,0.9728826869875383,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.041538836197465,0.000916297857297,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1064806057,0.0263210486,10.0797652025,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954408542720,110,1776135954408542720,base_link,0.02611172777636095,-0.23146245755975817,0.01409003139525115,0.9723912686918837,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0042760566673861,-0.041538836197465,0.001832595714594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1016949604999999,0.0167497582,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954509583616,111,1776135954509583616,base_link,0.02631124119966608,-0.23351283033020956,0.014268216136935269,0.9718929440354928,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0035124751196385,-0.041844268816564,0.001832595714594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1148554848,0.0179461695,10.0773723799,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954610562304,112,1776135954610562304,base_link,0.026516370872817347,-0.23555343628653808,0.014441016410399502,0.9713922574194082,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003665191429188,-0.0416915525070145,0.0016798794050445,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1028913717999999,0.011964113,10.0785687912,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954711638272,113,1776135954711638272,base_link,0.0267105814399162,-0.2375954291895121,0.014597770899570418,0.970887152017245,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0035124751196385,-0.0416915525070145,0.0013744467859455,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1064806057,0.0191425808,10.0809616138,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954812667136,114,1776135954812667136,base_link,0.026941914868643512,-0.23962587850528314,0.01482030088998279,0.9703782408191727,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0039706240482871,-0.041538836197465,0.0025961772623415,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0993021378999999,0.0095712904,10.073783146,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135954914242560,115,1776135954914242560,base_link,0.027193594150345633,-0.24168200119497568,0.015007373744467149,0.9698582873125703,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0045814892864851,-0.041844268816564,0.0016798794050445,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.095712904,0.0227318147,10.0821580251,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135955015324160,116,1776135955015324160,base_link,0.027427150202569035,-0.24372814981490432,0.015155043668963015,0.9693372297972265,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0044287729769356,-0.041844268816564,0.000916297857297,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0969093152999999,0.0107677016999999,10.0749795573,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135955117046272,117,1776135955117046272,base_link,0.027675402460513053,-0.24579213673818473,0.015357313594422798,0.9688056825470671,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0044287729769356,-0.0419969851261135,0.0019853120241435,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.095712904,0.0191425808,10.086943670299998,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1776135955218238720,118,1776135955218238720,base_link,0.027897930033860697,-0.24786794159052894,0.015518579195805533,0.9682677123250798,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0041233403578366,-0.042455134054762,0.001221730476396,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.1016949604999999,0.0143569356,10.085747259,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
